name,address,city,state,zip,phone,care_offerings,source_url
Amberly Manor,4390 Darrow Rd,Hudson,OH,44236,(330) 228-4392,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/amberly-manor
Bellhaven at Sycamore Ridge,7420 Sycamore Ridge Dr,Miamisburg,OH,45342,(260) 365-6510,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-at-sycamore-ridge
Bellhaven at Union Square,118 Union Square Dr,New Albany,OH,43054,(330) 519-9639,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-at-union-square
Bellhaven Court of Altoona,1125 Logan Blvd,Altoona,PA,16602,(517) 573-9493,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-court-of-altoona
Bellhaven Crossings of Lima,3115 N Cole St,Lima,OH,45801,(231) 539-3617,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-crossings-of-lima
Bellhaven Gardens of Monroe,750 Stewart Rd,Monroe,MI,48162,(814) 412-2218,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-gardens-of-monroe
Bellhaven Healthcare Centre of Ashland,1631 Claremont Ave,Ashland,OH,44805,(517) 314-5115,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-healthcare-centre-of-ashland
Bellhaven Meadows of Findlay,1800 N Blanchard St,Findlay,OH,45840,(231) 533-2969,"Assisted Living, Memory Support",https://analyst-assessment-production.up.railway.app/communities/bellhaven-meadows-of-findlay
Bellhaven of Ashtabula,3156 W Prospect Rd,Ashtabula,OH,44004,(260) 440-4975,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-ashtabula
Bellhaven of Batavia,2000 Hospital Dr,Batavia,OH,45103,(231) 698-3092,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-batavia
Bellhaven of Carlisle,640 Walnut Bottom Rd,Carlisle,PA,17015,(260) 386-7765,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-carlisle
Bellhaven of Chagrin Falls,150 River St,Chagrin Falls,OH,44022,(231) 283-7448,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-chagrin-falls
Bellhaven of Chesterton,1250 NW Franklin Street,Chesterton,IN,46304,(216) 551-3978,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-chesterton
Bellhaven of Defiance,700 Carpenter Rd,Defiance,OH,43512,(330) 691-2711,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-defiance
Bellhaven of Goshen,1610 College Ave,Goshen,IN,46526,(330) 405-6040,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-goshen
Bellhaven of Kalamazoo,3222 Gull Rd,Kalamazoo,MI,49048,(231) 460-1964,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-kalamazoo
Bellhaven of Kettering,3313 Wilmington Pike,Kettering,OH,45429,(231) 269-5449,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-kettering
Bellhaven of Maplewood,210 Orchard Lane,Maplewood,OH,44280,(614) 250-9447,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-maplewood
Bellhaven of Marietta,805 Colegate Dr,Marietta,OH,45750,(614) 337-1967,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-marietta
Bellhaven of Marion,199 Barks Rd W,Marion,OH,43302,(517) 847-7948,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-marion
Bellhaven of Meadville,341 Chestnut St,Meadville,PA,16335,(419) 848-5389,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-meadville
Bellhaven of New Carlisle,875 Elm Street,New Carlisle,OH,45344,(614) 900-2177,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-new-carlisle
Bellhaven of Owosso,1120 W Main St,Owosso,MI,48867,(734) 503-1363,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-owosso
Bellhaven of Port Clinton,1420 Harbor Point Dr,Port Clinton,OH,43452,(330) 733-6423,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-port-clinton
Bellhaven of Portsmouth,2222 Gallia St,Portsmouth,OH,45662,(330) 431-2495,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-portsmouth
Bellhaven of Saline,980 W Michigan Ave,Saline,MI,48176,(614) 868-2766,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-saline
Bellhaven of Tiffin,45 St Lawrence Dr,Tiffin,OH,44883,(260) 589-2589,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-tiffin
