account_id,name,parent_id,parent_name,billing_street,billing_city,billing_state,billing_zip,care_type,status,phone,lifetime_revenue,outstanding_ar,chow_current_account,duplicate_of_account,note,created_by_candidate,updated_at
001UXEM0PCSUVRAYPF,Amberly Care Center,00139TNDS8HNLUZ5A6,Stonebridge Eldercare (Parent Account),9320 Cherry Blvd,Grand Rapids,MI,49503,Skilled Nursing,Active,(734) 611-4393,0,0,,,,False,2026-08-24 15:51:44Z
001DPANQQTRR1LXFY4,Amberly Estates,001DAAUWV2J3SHQJ34,Juniper Point Healthcare (Parent Account),9735 Maple St,Parma,OH,44129,Assisted Living,Active,(517) 216-2060,0,0,,,,False,2026-08-24 15:51:44Z
00192CFL38Y0U4Q887,Amberly Gardens,00139TNDS8HNLUZ5A6,Stonebridge Eldercare (Parent Account),2974 Water Dr,Pittsburgh,PA,15213,Memory Care,Active,(517) 384-2716,5000,0,,,,False,2026-08-24 15:51:44Z
0015D74ZLRY810RGY5,Amberly Manor,001DAAUWV2J3SHQJ34,Juniper Point Healthcare (Parent Account),918 S Nevada Ave,Colorado Springs,CO,80903,Assisted Living,Active,(734) 358-9267,0,0,,,,False,2026-08-24 15:51:44Z
0016B1CC29514094FD,Amberly Manor,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),4390 Darrow Rd,Hudson,OH,44236,Assisted Living,Active,(330) 228-4392,0,0,,,Created from Bellhaven website after human review.,True,2026-08-24 17:35:44Z
0010KJFP601YNTZVDA,Arbors at Bellhaven Dayton,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),2210 Salem Ave,Dayton,OH,45406,Memory Care,Active,(216) 659-9837,0,0,,,,False,2026-08-24 15:51:44Z
001YQH5RQ9VL8C42GU,Aspen Court Assisted Living,,,3183 Lake Rd,Elkhart,IN,46514,Skilled Nursing,Inactive,(419) 413-4409,0,0,,,,False,2026-08-24 15:51:44Z
001BR49KRHQDR5HCVS,Aspen Court Nursing & Rehabilitation,,,6541 Adams Ave,Harrisburg,PA,17104,Skilled Nursing,Active,(260) 663-9788,130000,0,,,,False,2026-08-24 15:51:44Z
00116ETS45BL7DTQP7,Bellhaven Care Center of Alliance,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),1785 Freshley Ave,Alliance,OH,44601,Skilled Nursing,Needs Review,(734) 358-4538,0,0,,,,False,2026-08-24 19:01:29Z
0011D2P3CWSHMF81C8,Bellhaven Court of Altoona,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),1125 Logan Boulevard,Altoona,PA,16602,Assisted Living,Active,(517) 573-9493,61000,0,,,,False,2026-08-24 15:51:44Z
001LGFPBJY4N9MB6KL,Bellhaven Crossings of Lima,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),3115 N Cole St,Lima,OH,45801,Assisted Living,Active,(734) 872-9575,47000,0,,,Re-parented to Bellhaven after human review against current Bellhaven website.,False,2026-08-24 17:43:19Z
001U1750VLVJAGG1S5,Bellhaven Gardens of Monroe,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),750 Stewart Rd,Monroe,MI,48162,Assisted Living,Active,(814) 291-2902,0,0,,,,False,2026-08-24 15:51:44Z
001RJ0D7Z5MAZN5HX5,Bellhaven Health Care Center of Ashland,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),1631 Claremont Ave,Ashland,OH,44805,Skilled Nursing,Active,(734) 319-7813,0,0,,,,False,2026-08-24 15:51:44Z
001UKEFGADQ8YCZ4YM,Bellhaven Meadows of Findlay,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),1800 N Blanchard St,Findlay,OH,45840,Assisted Living,Active,(330) 975-2492,22000,0,,,,False,2026-08-24 18:07:59Z
001TZCSTBZFM6K5BGN,Bellhaven Rehab and Nursing of Grove City,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),3985 Broadway,Grove City,OH,43123,Skilled Nursing,Active,(614) 555-7729,0,0,,,,False,2026-08-24 15:51:44Z
0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),,,,,,,,Active,(260) 328-5930,0,0,,,,False,2026-08-24 15:51:44Z
001CVBBCSDM7YHN220,Bellhaven Shores of Erie,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),4930 W Lake Rd,Erie,PA,16505,Assisted Living,Active,(419) 495-1741,0,0,,,,False,2026-08-24 15:51:44Z
0019Y4J61ZBG4R00CD,Bellhaven Terrace of Akron,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),55 Ridgewood Ave,Akron,OH,44313,Assisted Living,Active,(260) 899-4605,101000,9000,,,,False,2026-08-24 15:51:44Z
0017MN2JYAJBDS8WQZ,Bellhaven Willow Creek,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),8060 Willow Creek Lane,Portage,MI,49024,Memory Care,Active,(216) 898-7925,0,0,,,,False,2026-08-24 18:45:41Z
0014DHACE6WQU3RMM5,Bellhaven Woods of Toledo,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),4850 Northwest Sylvania Avenue,Toledo,OH,43623,Memory Care,Active,(734) 388-8242,54000,0,,,,False,2026-08-24 15:51:44Z
0014E6FCC235F163DA,Bellhaven at Union Square,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),118 Union Square Dr,New Albany,OH,43054,Assisted Living,Active,(330) 519-9639,0,0,,,Created from Bellhaven website after human review.,True,2026-08-24 17:41:48Z
001NXP9X46CWEPSLSV,Bellhaven of Ashtabula,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),PO Box 517,Ashtabula,OH,44004,Skilled Nursing,Active,(260) 440-4975,0,0,,,,False,2026-08-24 15:51:44Z
00130E36AC66FDDE33,Bellhaven of Batavia,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),2000 Hospital Dr,Batavia,OH,45103,Short-Term Rehabilitation & Nursing,Active,(231) 698-3092,0,0,,,,True,2026-08-24 18:09:42Z
00134643E07F8AF722,Bellhaven of Carlisle,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),640 Walnut Bottom Rd,Carlisle,PA,17015,Short-Term Rehabilitation & Nursing,Active,(260) 386-7765,0,0,,,,True,2026-08-24 18:11:07Z
001RJU1X4NBWC1Q0G7,Bellhaven of Chagrin Falls,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),150 River St,Chagrin Falls,OH,44022,Assisted Living,Active,(517) 457-9548,0,0,,,,False,2026-08-24 18:13:39Z
0013NUZQHQUEZ8DXEG,Bellhaven of Chesterton,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),1250 Northwest Franklin St,Chesterton,IN,46304,Skilled Nursing,Active,(216) 551-3978,0,0,,,,False,2026-08-24 18:14:49Z
0016PVXH4B25HWR7QE,Bellhaven of Coldwater,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),90 N Michigan Ave,Coldwater,MI,49036,Assisted Living,Needs Review,(814) 581-1138,0,0,,,,False,2026-08-24 19:02:07Z
001R4PXTUD9R6FNN8V,Bellhaven of Defiance,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),700 Carpenter Road,Defiance,OH,43512,Skilled Nursing,Active,(231) 238-4862,66000,9500,,,,False,2026-08-24 15:51:44Z
001JQER1RMYKNRLNME,Bellhaven of Goshen,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),1610 College Avenue,Goshen,IN,46526,Assisted Living,Active,(517) 409-8156,121000,0,,,,False,2026-08-24 15:51:44Z
001NSHWKQD0YJLPQ20,Bellhaven of Kalamazoo,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),3222 Gull Road,Kalamazoo,MI,49048,Skilled Nursing,Active,(231) 460-1964,0,0,,,,False,2026-08-24 15:51:44Z
001L3LGR6W69J8DYYV,Bellhaven of Maplewood,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),210 Orchard Ln,Maplewood,OH,44280,Assisted Living,Active,(614) 250-9447,0,0,,,,False,2026-08-24 15:51:44Z
0011F7EF443A4047A0,Bellhaven of Marietta,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),805 Colegate Dr,Marietta,OH,45750,Short-Term Rehabilitation & Nursing,Active,(614) 337-1967,0,0,,,,True,2026-08-24 18:38:45Z
001A34WFSUYHCRBLFT,Bellhaven of Marietta,001FWSQ30SFW6S7604,Cedar Trail Communities (Parent Account),805 Colegate Drive,Marietta,OH,45750,Skilled Nursing,Active,(419) 353-5019,51250,3800,0011F7EF443A4047A0,,,False,2026-08-24 18:38:46Z
0015L38R1Z5947ZZP7,Bellhaven of Marion,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),199 Barks Road West,Marion,OH,43302,Skilled Nursing,Active,(330) 314-3109,87000,0,,,,False,2026-08-24 15:51:44Z
001KC1NG7EZDEKKA3T,Bellhaven of Meadville,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),341 Chestnut Street,Meadville,PA,16335,Skilled Nursing,Active,(419) 848-5389,87000,1000,,,,False,2026-08-24 15:51:44Z
001AQGPZ5G5VRES536,Bellhaven of New Carlisle,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),875 Elm St,New Carlisle,OH,45344,Skilled Nursing,Active,(614) 900-2177,156000,0,,,,False,2026-08-24 15:51:44Z
001EGU7BMJ942ZTRE6,Bellhaven of Owosso,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),1120 W Main St,Owosso,MI,48867,Assisted Living,Active,(734) 503-1363,0,0,,,,False,2026-08-24 15:51:44Z
001QU150PM4Z15UA71,Bellhaven of Owosso,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),1120 West Main Street,Owosso,MI,48867,Assisted Living,Inactive,(330) 383-5991,0,0,,001EGU7BMJ942ZTRE6,Marked duplicate of 001EGU7BMJ942ZTRE6 after human review.,False,2026-08-24 19:03:35Z
001UELXDAKFRKB8932,Bellhaven of Port Clinton,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),1420 Harbor Point Dr,Port Clinton,OH,43452,Skilled Nursing,Active,(614) 512-8712,0,0,,,,False,2026-08-24 15:51:44Z
001CF3LDWVRGL09P4F,Bellhaven of Portsmouth,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),2222 Gallia St,Portsmouth,OH,45626,Skilled Nursing,Active,(330) 431-2495,0,0,,,,False,2026-08-24 15:51:44Z
001MVVAPY6U5TVYRC4,Bellhaven of Saline,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),980 West Michigan Avenue,Saline,MI,48176,Skilled Nursing,Active,(614) 868-2766,0,0,,,,False,2026-08-24 15:51:44Z
001SXSF4ELF0Z2LGDM,Bellhaven of Sandusky,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),2715 Columbus Ave,Sandusky,OH,44870,Skilled Nursing,Needs Review,(260) 212-1086,130000,5200,,,,False,2026-08-24 19:04:14Z
00191H7JR16471SZ34,Bellhaven of Sycamore Ridge,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),7420 Sycamore Ridge Dr,Miamisburg,OH,45342,Assisted Living,Active,(419) 982-7764,0,0,,,,False,2026-08-24 15:51:44Z
001AA5199D9F69C95B,Bellhaven of Tiffin,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),45 St Lawrence Dr,Tiffin,OH,44883,Short-Term Rehabilitation & Nursing,Active,(260) 589-2589,0,0,,,,True,2026-08-24 18:40:12Z
001U6RW32TY0WSXZZB,Bellhaven of Tiffin,001FWSQ30SFW6S7604,Cedar Trail Communities (Parent Account),45 St Lawrence Dr,Tiffin,OH,44883,Skilled Nursing,Active,(614) 829-9278,84000,12400,001AA5199D9F69C95B,,,False,2026-08-24 18:40:13Z
001W5G121A7SMRP58M,Bellhaven of Wooster,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),2301 Cleveland Rd,Wooster,OH,44691,Skilled Nursing,Active,(517) 712-7557,25000,0,,,,False,2026-08-24 15:51:44Z
001H1JMVZWP46D5VUF,Bellhaven of Zanesville,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),2680 Maple Avenue,Zanesville,OH,43701,Skilled Nursing,Active,(517) 817-8191,0,0,,,,False,2026-08-24 19:55:55Z
001GSSHJACJUH7SAZW,Bristol Manor Assisted Living,001DAAUWV2J3SHQJ34,Juniper Point Healthcare (Parent Account),3359 Hill Blvd,Cleveland,OH,44109,Independent Living,Active,(260) 877-2893,164000,0,,,,False,2026-08-24 15:51:44Z
