website_name,website_address,website_city,website_state,website_zip,website_phone,website_care_offerings,source_url,crm_account_id,crm_name,crm_address,crm_city,crm_state,crm_zip,crm_phone,crm_parent_id,crm_parent_name,lifetime_revenue,outstanding_ar,match_score,name_score,street_score,zip_match,phone_match,city_match,state_match,second_best_score,score_gap,ambiguous,classification,proposed_action,evidence,decision,decision_note
Amberly Manor,4390 Darrow Rd,Hudson,OH,44236,(330) 228-4392,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/amberly-manor,0016B1CC29514094FD,Amberly Manor,4390 Darrow Rd,Hudson,OH,44236.0,(330) 228-4392,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,100.0,100.0,100.0,True,True,True,True,35.0,65.0,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=True; City=True; State=True,,
Bellhaven at Sycamore Ridge,7420 Sycamore Ridge Dr,Miamisburg,OH,45342,(260) 365-6510,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-at-sycamore-ridge,00191H7JR16471SZ34,Bellhaven of Sycamore Ridge,7420 Sycamore Ridge Dr,Miamisburg,OH,45342.0,(419) 982-7764,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,83.53,94.12,100.0,True,False,True,True,35.88,47.65,False,MATCH_CORRECT,NO_ACTION,Name=94.12; Street=100.0; ZIP=True; Phone=False; City=True; State=True,,
Bellhaven at Union Square,118 Union Square Dr,New Albany,OH,43054,(330) 519-9639,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-at-union-square,0014E6FCC235F163DA,Bellhaven at Union Square,118 Union Square Dr,New Albany,OH,43054.0,(330) 519-9639,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,100.0,100.0,100.0,True,True,True,True,56.04,43.96,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=True; City=True; State=True,,
Bellhaven Court of Altoona,1125 Logan Blvd,Altoona,PA,16602,(517) 573-9493,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-court-of-altoona,0011D2P3CWSHMF81C8,Bellhaven Court of Altoona,1125 Logan Boulevard,Altoona,PA,16602.0,(517) 573-9493,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),61000,0,100.0,100.0,100.0,True,True,True,True,33.84,66.16,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=True; City=True; State=True,,
Bellhaven Crossings of Lima,3115 N Cole St,Lima,OH,45801,(231) 539-3617,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-crossings-of-lima,001LGFPBJY4N9MB6KL,Bellhaven Crossings of Lima,3115 N Cole St,Lima,OH,45801.0,(734) 872-9575,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),47000,0,85.0,100.0,100.0,True,False,True,True,37.08,47.92,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=False; City=True; State=True,,
Bellhaven Gardens of Monroe,750 Stewart Rd,Monroe,MI,48162,(814) 412-2218,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-gardens-of-monroe,001U1750VLVJAGG1S5,Bellhaven Gardens of Monroe,750 Stewart Rd,Monroe,MI,48162.0,(814) 291-2902,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,85.0,100.0,100.0,True,False,True,True,77.5,7.5,True,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=False; City=True; State=True,,
Bellhaven Healthcare Centre of Ashland,1631 Claremont Ave,Ashland,OH,44805,(517) 314-5115,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-healthcare-centre-of-ashland,001RJ0D7Z5MAZN5HX5,Bellhaven Health Care Center of Ashland,1631 Claremont Ave,Ashland,OH,44805.0,(734) 319-7813,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,85.0,100.0,100.0,True,False,True,True,38.77,46.23,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=False; City=True; State=True,,
Bellhaven Meadows of Findlay,1800 N Blanchard St,Findlay,OH,45840,(231) 533-2969,"Assisted Living, Memory Support",https://analyst-assessment-production.up.railway.app/communities/bellhaven-meadows-of-findlay,001UKEFGADQ8YCZ4YM,Bellhaven Meadows of Findlay,1800 N Blanchard St,Findlay,OH,45840.0,(330) 975-2492,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),22000,0,85.0,100.0,100.0,True,False,True,True,37.01,47.99,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=False; City=True; State=True,,
Bellhaven of Ashtabula,3156 W Prospect Rd,Ashtabula,OH,44004,(260) 440-4975,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-ashtabula,001NXP9X46CWEPSLSV,Bellhaven of Ashtabula,PO Box 517,Ashtabula,OH,44004.0,(260) 440-4975,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,76.43,100.0,21.43,True,True,True,True,36.07,40.36,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=21.43; ZIP=True; Phone=True; City=True; State=True,,
Bellhaven of Batavia,2000 Hospital Dr,Batavia,OH,45103,(231) 698-3092,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-batavia,00130E36AC66FDDE33,Bellhaven of Batavia,2000 Hospital Dr,Batavia,OH,45103.0,(231) 698-3092,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,100.0,100.0,100.0,True,True,True,True,40.08,59.92,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=True; City=True; State=True,,
Bellhaven of Carlisle,640 Walnut Bottom Rd,Carlisle,PA,17015,(260) 386-7765,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-carlisle,00134643E07F8AF722,Bellhaven of Carlisle,640 Walnut Bottom Rd,Carlisle,PA,17015.0,(260) 386-7765,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,100.0,100.0,100.0,True,True,True,True,36.01,63.99,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=True; City=True; State=True,,
Bellhaven of Chagrin Falls,150 River St,Chagrin Falls,OH,44022,(231) 283-7448,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-chagrin-falls,001RJU1X4NBWC1Q0G7,Bellhaven of Chagrin Falls,150 River St,Chagrin Falls,OH,44022.0,(517) 457-9548,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,85.0,100.0,100.0,True,False,True,True,37.08,47.92,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=False; City=True; State=True,,
Bellhaven of Chesterton,1250 NW Franklin Street,Chesterton,IN,46304,(216) 551-3978,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-chesterton,0013NUZQHQUEZ8DXEG,Bellhaven of Chesterton,1250 Northwest Franklin St,Chesterton,IN,46304.0,(216) 551-3978,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,95.33,100.0,84.44,True,True,True,True,41.17,54.16,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=84.44; ZIP=True; Phone=True; City=True; State=True,,
Bellhaven of Defiance,700 Carpenter Rd,Defiance,OH,43512,(330) 691-2711,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-defiance,001R4PXTUD9R6FNN8V,Bellhaven of Defiance,700 Carpenter Road,Defiance,OH,43512.0,(231) 238-4862,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),66000,9500,85.0,100.0,100.0,True,False,True,True,37.55,47.45,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=False; City=True; State=True,,
Bellhaven of Goshen,1610 College Ave,Goshen,IN,46526,(330) 405-6040,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-goshen,001JQER1RMYKNRLNME,Bellhaven of Goshen,1610 College Avenue,Goshen,IN,46526.0,(517) 409-8156,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),121000,0,85.0,100.0,100.0,True,False,True,True,38.77,46.23,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=False; City=True; State=True,,
